ANALOGY,,,,,,,
Question,Option A,Option B,Option C,Option D,Option E,Answer,Bin
LAVA : VOLCANO ::,ice : glass,cascade : precipice,steam : geyser,avalanche : ice,snowstorm : lightning,C,1
INTRODUCTION : CONCLUSION ::,announcement : news,greeting : farewell,birth : marriage,landing : accolade,companionship : termination,B,1
DEGREE : TEMPERATURE ::,nutrient : nourishment,scale : length,calorie : menu,decibel : sound,headphones : conversation,D,1
ABSTINENCE : DRUNKENNESS ::,celibacy : promiscuity,indulgence : fatness,withdrawal : annexation,entertainment : dismay,thrift : frivolity,A,1
BARK : DOG ::,sty : pig,skin : cat,nest : bird,school : fish,hoot : owl,E,1
REFREE : FIELD ::,experimenter : result,arbitrator : deadlock,gladiator : fight,professor : classroom,judge : courtroom,E,1
COMPREHEND : UNINTELLIGIBLE ::,swallow : edible,circumvent : risky,accumulate : insignificant,control : ungovernable,suspect : untrustworthy,D,2
MERCHANDISE : SHOPLIFT ::,conversation : eavesdrop,property : trespass,debate : slander,suspect : apprehend,onlooker : subpoena,B,2
SWELL : BURST ::,assimilate : weaken,pollute : heal,promote : conceive,thaw : freeze,stumble : fall,E,1
RETICENT : TALK ::,abstemious : devour,tasteless : savor,likely : conjecture,cranky : grumble,contumacious : revolt,A,1
RECTANGLE : SQUARE ::,sphere : circle,tub : shower,sonnet : poem,hypotenuse : triangle,magazine : article,C,2
SEMINARY : THEOLOGIAN ::,academy : cadet,courtroom : witness,sanitarium : patient,conservatory : artist,laboratory : researcher,D,2
SHARD : POTTERY ::,hill : cliff,ash : fire,hair : wig,canal : river,splinter : wood,E,1
OBTRUSIVE : IGNORE ::,autocratic : govern,inconsequential : denigrate,elusive : capture,suspicious : forecast,appropriated : usurp,C,2
KARAT : GOLD ::,proof : alcohol,liter : beer,pound : sugar,meter : rope,ream : paper,E,1
LOGO : COMPANY ::,fabric : weaver,catalogue : stockist,trademark : manufacturer,landmark : surveyor,painting : artist,C,1
SHRINE : PILGRIM ::,peak : climber,voting : pollster,debacle : loser,highway : driver,dive : swimmer,A,2
HATCH : HOLD ::,rudder : anchor,boat : barge,courtyard : terrace,door : room,cellar : attic,D,1
CHANT : SPEAK ::,march : walk,heed : hear,wince : dodge,squeeze : touch,blink : view,A,1
INCUMBENT : OFFICE ::,monarch : throne,president : company,supervisor : employee,captain : army,owner : equity,A,1
APOSTATE : RELIGION ::,offender : order,atheist : faith,deserter : duty,adherent : rule,deifier : hero,C,2
BIRD : AVIARY ::,lion : circus,bear : cave,pig : sty,hare : burrow,rodent : silo,C,1
JEER : DERISION ::,worry : check,tremble : menace,slouch : alertness,reprimand : censure,glower : agony,D,1
SWARM : INSECT ::,match : player,picnic : forest,throng : person,dog : puppy,vase : bloom,C,1
IRASCIBLE : PROVOKED ::,credulous : convinced,reliable : disproved,immoral : suppressed,impersonal : described,taunting : amused,A,1
EXPEL : SCHOOL ::,export : factory,exile : nation,escape : penitentiary,vacate : building,dodge : taxes,B,1
COLD : FROSTBITE ::,river bed : sand,star : twinkling,laceration : wound,heat : sunburn,rain : overcoat,D,1
BACTERIA : DECOMPOSITION ::,volcano : eruption,antibiotic : injection,yeast : fermentation,oxygen : treatment,trees : deforestation,C,1
GRADUATE : DIPLOMA ::,aggressor : compromise,property owner : deed,editor : byline,elector : vote,librarian : volume,B,1
COLOR : WAVELENGTH ::,pitch : wavelength,diameter : circumference,angle : acuteness,power : generation,string : vibration,A,1
PLAIN: AUSTERE ::,neutral : detached,clean : sterile,lonely : gloomy,deserted : barren,eloquent : talkative,B,2
EQUANIMITY : DISCOMPOSE ::,equation : invert,equitableness : oppose,prevarication : diminish,equilibrium : unbalance,similarity : verify,D,1
RIDDLED : HOLES ::,untangled : ties,furrowed : articles,imperfect : repairs,pitted : indentations,sharpened : lacerations,D,1
DEFENSE : BASTION ::,storage : arsenal,supply : anchorage,concealment : citadel,embarkation : asylum,fortification : pavilion,A,2
RELAPSE : CONVALESCENCE ::,reiteration : monotony,stalemate : debate,dissonance : euphony,recidivism : rehabilitation,feudalism : modernization,D,2
VAULT : THEFT ::,fort : aggression,spice : aroma,fence : dwelling,army : war,jail : sentence,A,3
COMA : UNCONSCIOUSNESS ::,amnesia : exercise,delirium : confusion,paralysis : distress,hallucination : insensibility,fever : tranquility,B,2
SPECKLE : SPOTS ::,demand : changes,perforate : stamps,emboss : planes,ornament : stripes,striate : grooves,E,1
LACKEY : DEPENDENT ::,amateur : artist,groveler : petitioner,coward : delinquent,envoy : emissary,vicar : abbot,B,1
SEDATIVE : SLEEP ::,challenging : knowledge,mnemonic : memory,dramatic : story,vocal : eloquence,harmonic : music,B,1
